day_name,dow_num,hour,price_median,price_mean,quarters
Wednesday,2,3,417.35,415.29,456
Wednesday,2,4,420.56,422.58,456
Wednesday,2,5,451.24,452.75,456
Wednesday,2,6,554.7,559.23,456
Wednesday,2,7,585.92,632.86,456
Wednesday,2,8,529.58,582.7,456
Wednesday,2,9,440.26,470.32,456
Wednesday,2,10,379.88,363.58,456
Wednesday,2,11,340.61,320.15,456
Wednesday,2,12,317.64,297.47,456
Wednesday,2,13,316.58,309.86,456
Wednesday,2,14,353.06,343.32,456
Wednesday,2,15,402.71,429.23,456
Wednesday,2,16,460.29,527.01,456
Wednesday,2,17,542.98,616.62,456
Wednesday,2,18,630.87,696.17,456
Wednesday,2,19,738.43,809.68,456
Wednesday,2,20,697.91,783.87,456
Wednesday,2,21,580.67,626.02,456
Wednesday,2,22,501.09,533.24,456
Wednesday,2,23,450.7,466.76,456
